id,name,description,created_at
1,OpenAI GPT-4,Advanced language model for various tasks,2024-01-01 10:00:00
2,BERT,Transformer-based model for NLP tasks,2024-01-02 11:00:00
3,DALL-E 3,Model for generating images from text,2024-01-03 12:00:00
4,Whisper,Speech recognition model,2024-01-04 13:00:00
5,Claude 2,Conversational AI by Anthropic,2024-01-05 14:00:00
6,ChatGPT-turbo,Efficient language model for chat applications,2024-01-06 15:00:00
7,Stable Diffusion,Open-source model for image generation,2024-01-07 16:00:00
8,Google T5,Text-to-text transfer transformer,2024-01-08 17:00:00
9,Palm 2,Advanced language model by Google,2024-01-09 18:00:00
10,BLOOM,Open multilingual language model,2024-01-10 19:00:00
11,Meta LLaMA 2,Open model from Meta optimized for research,2024-01-11 20:00:00
12,FLAN-T5,Fine-tuned model by Google for better task generalization,2024-01-12 21:00:00
